Year,Age,Gender,log_Mu
1983.0,13.0,0.0,-8.468403027246806
1983.0,17.0,0.0,-7.654303236269198
1983.0,26.0,0.0,-7.402051600796917
1983.0,31.0,0.0,-7.223836825955616
1983.0,58.0,0.0,-4.8026459905537235
1983.0,65.0,0.0,-4.250507264810313
1983.0,82.0,0.0,-2.6355016585126894
1983.0,83.0,0.0,-2.5323127721852705
1983.0,86.0,0.0,-2.2400235247406957
1983.0,99.0,0.0,-1.1267031688346354
1984.0,0.0,0.0,-4.625781139892216
1984.0,7.0,0.0,-8.468403027246806
1984.0,22.0,0.0,-7.536989133798429
1984.0,30.0,0.0,-7.280269286950616
1984.0,36.0,0.0,-6.880140111949164
1984.0,38.0,0.0,-6.66795128677482
1984.0,46.0,0.0,-5.971269839822463
1984.0,79.0,0.0,-3.0080275516481425
1984.0,82.0,0.0,-2.7025553256202492
1984.0,89.0,0.0,-1.9604361423033703
1984.0,96.0,0.0,-1.3233045385971751
1984.0,97.0,0.0,-1.260663092459705
1985.0,1.0,0.0,-7.218364856077622
1985.0,19.0,0.0,-7.563606674798385
1985.0,27.0,0.0,-7.406981766904776
1985.0,47.0,0.0,-5.874570795636482
1985.0,64.0,0.0,-4.344499662783161
1985.0,68.0,0.0,-4.011291007086815
1985.0,84.0,0.0,-2.4274682751407357
1985.0,88.0,0.0,-2.0531735852295965
1985.0,91.0,0.0,-1.7650863800523535
1985.0,97.0,0.0,-1.2446698066580402
1985.0,98.0,0.0,-1.1522852543340076
1985.0,99.0,0.0,-1.0470573785049508
1986.0,6.0,0.0,-8.492500578825865
1986.0,8.0,0.0,-8.563237129917644
1986.0,20.0,0.0,-7.5351147190040795
1986.0,28.0,0.0,-7.3493658337266545
1986.0,44.0,0.0,-6.157283031802923
1986.0,48.0,0.0,-5.727255830841843
1986.0,49.0,0.0,-5.727255830841843
1986.0,60.0,0.0,-4.6659823253848485
1986.0,69.0,0.0,-3.9575435207299554
1986.0,83.0,0.0,-2.5784044729033146
1986.0,88.0,0.0,-2.0766215216765893
1986.0,94.0,0.0,-1.4811502441326314
1987.0,2.0,0.0,-7.66277786326017
1987.0,13.0,0.0,-8.584401941109688
1987.0,24.0,0.0,-7.494742263713692
1987.0,55.0,0.0,-5.137049218951915
1987.0,63.0,0.0,-4.418524657714082
1987.0,97.0,0.0,-1.2120721825825858
1987.0,99.0,0.0,-1.0944400047623954
1988.0,13.0,0.0,-8.440232150280108
1988.0,25.0,0.0,-7.410282099933433
1988.0,32.0,0.0,-7.089277155605528
1988.0,33.0,0.0,-7.055095866880846
1988.0,44.0,0.0,-6.211114209167936
1988.0,46.0,0.0,-5.997080285893618
